id,platform,title,content,author,post_date,url,translated_content,sentiment_label,sentiment_score,keyword_category,created_at,lang_detected
934,naver_blog,라오스 여행후기 - (1),"보통 블루라군은 툭툭이를 타고 가거나 오토바이 / 전기 스쿠터를 빌려서 간다. 나는 오토바이 운전에 자신이 없기도 했고, 무엇보다 흙먼지를 뒤집어 쓰는게 싫어서 뜬금없지만 전기차를 빌려서 갔다. 후기...",yooooonnnnn,2024-03-17,https://blog.naver.com/matilda38/223386464145,"Usually, you can go to the Blue Lagoon by taking a tuk-tuk or renting a motorcycle/electric scooter.I wasn't confident about driving a motorcycle, and more than anything, I hated getting covered in dirt, so I rented an electric car and went.Review...",negative,0.7841,기타,2026-06-04 06:40:42.438678+00,ko
909,naver_blog,태국(파타야여행)라오스... 파타야가는 공항 직행버스 후기.,소중한 후기를 보니까 신용카드 말고 기타결제를 누르면 큐알이 나온다. 이 큐알로 7.11에서 GLN결제를... 비엔티엔전기차택시 #xanhsm택시 #라오스택시앱 #비엔티엔공항에서돈므앙공항 #타이에어아시아...,뚱보참새의 세계여행 이야기,2025-07-04,https://blog.naver.com/park6180/223921352523,"Looking at the valuable reviews, a QR appears when I click on other payment options other than credit card.GLN payment at 7.11 with this QR... Vientiane electric car taxi #xanhsm taxi #Laos taxi app #Vientiane Airport to Don Mueang Airport #Thai Air Asia...",neutral,0.5958,,2026-06-04 06:40:42.438678+00,ko
910,naver_blog,나 혼자 7박9일 라오스(3) - 비엔티안에서 방비엥으로,"나오는 전기차 택시로 잘 도착하고, 11시 30분 출발 밴 티켓을 샀다. 120,000낍 정도 준 것 같다. 근처에 도가니 국수가 있어서 먹고 오기로 했다. 밴 정류장에 짐도 맡길 수 있는데, 후기를 보니까 가방 뒤진다고...",record.,2024-06-08,https://blog.naver.com/heyheyheey/223473191226,"I arrived safely by taxi, and bought a ticket for a van departing at 11:30.I think he gave me about 120,000 kip.There was Dogani Noodles nearby, so I decided to eat them.You can leave your luggage at the van stop, but I read reviews saying they search through your bags...",positive,0.5203,,2026-06-04 06:40:42.438678+00,ko
911,naver_blog,라오스 여행기라고 쓰고 방비엥 여행기라고 읽는다 (5)...,com/jiwoo1182/223381085468 &amp; &quot;&quot; 조금 더 자세한 아마리 호텔의 조식 후기는 위 포스팅을 참고해주세용 전... 테슬라까지 라오스 카페 주차장에 전기차 충전기가 있다? 전기차 차주로서 반가운 마음에 한 컷 찍어뒀네요...,노는 게 제일 좋아,2024-04-04,https://blog.naver.com/jiwoo1182/223405630269,"com/jiwoo1182/223381085468 &amp;&quot;&quot;For a more detailed review of Amari Hotel's breakfast, please refer to the above post. Is there even a Tesla electric car charger in the Laos cafe parking lot?As an electric car owner, I was happy to take a picture...",positive,0.5844,,2026-06-04 06:40:42.438678+00,ko
938,naver_blog,[라오스 8박 8일 자유여행] 23.6.15 DAY7 꽝시 폭포 2편 : 꽝시...,1편 : 스쿠터 타고 꽝시 폭포 찾아가기  &lt;&gt; &lt; &gt; &lt;&amp; 매표소에서 전기차를 타고 꽝시폭포 입구까지 올라왔다.... 편하고 멋진 풍경이어서 이 루트는 꼭 다시 다녀오고 싶은 루트. 스쿠터 타고 꽝시폭포 다녀온 후기 끝!,내가 사는 이야기,2024-10-27,https://blog.naver.com/sonmmin/223635955250,"Part 1: Riding a scooter to Kuang Si Falls &lt;&gt;&lt;&gt;&lt;&amp;I took an electric car from the ticket office and went up to the entrance of Kuang Si Falls. It was comfortable and had great scenery, so I definitely want to go on this route again.The end of my review of my trip to Kuang Si Falls on a scooter!",positive,0.7846,,2026-06-04 06:40:42.438678+00,ko
912,naver_blog,23 11월 [라오스/루앙프라방] 여행 첫 째날: 탁발식(왓씨앙통)...,했는데 라오스 여행 매일 아침 이 조합을 먹으러 방문했다 커피는 따뜻한 카푸치노 카푸치노 크림에 크로아상 찍어먹기 이 카페 자세한 후기는 다음에 써보는걸로 하고… 카페인 충전 후 계속해서 길을 따라...,"나의 모든 날, 예브리데이",2023-11-27,https://blog.naver.com/yevscho/223275523046,"I visited Laos every morning to eat this combination. For coffee, I dipped croissants in warm cappuccino cream. I decided to write a detailed review of this cafe next time...After getting our caffeine fix, we continue along the road...",neutral,0.4755,,2026-06-04 06:40:42.438678+00,ko
915,naver_blog,라오스 여행 루앙프라방... 트윈룸 조식 렌트카 스파 수영장 후기,이 귀여운 전기차 렌트카를 했고 실제로 라오스 여행지에서 만날 수 있는 길들 중 루앙프라방... 룸에서 받을 수도 있는데 스파하는 곳에 가서 받는게 더 좋다는 후기가 많습니다! 내부도 깔끔하고...,치즈볼 먹냥펀치,2024-11-14,https://blog.naver.com/cheeseball-/223660465730,"I rented this cute electric car, and in fact, Luang Prabang is one of the roads you can find while traveling in Laos... You can get it in your room, but there are many reviews saying that it's better to go to a spa place!The inside is clean and...",positive,0.7439,,2026-06-04 06:40:42.438678+00,ko
916,naver_blog,[라오스 8박 8일 자유여행]... 꽝시 폭포 가는 길 / 렌트 / 주유,"QR코드 찍고, 요 전기차를 탑승하고 이동. 이동시간은 5분도 걸리지 않지만 폭포에서 놀 체력을 비축할 수 있다.ㅎㅎ (그래도 걸으면 은근 꽤 걸릴 듯??) 꽝시 폭포에 대한 자세한 후기는 다음 편에서~!",내가 사는 이야기,2024-10-22,https://blog.naver.com/sonmmin/223629233450,"Scan the QR code, board this electric car and move on.The travel time takes less than 5 minutes, but you can save up your stamina to play at the waterfall. Haha (Still, it seems like it will take quite a while if you walk, right??) A detailed review of Kuang Si Falls will be in the next episode!",positive,0.6188,,2026-06-04 06:40:42.438678+00,ko
917,naver_blog,라오스 루앙프라방 펄호텔 Pearl Hotel / 차렌트 렌트카 후기,우리 렌트카 ..하투하투 레이보다 더더 작은 차지만 4인까지 타고 다닐만 할듯 (8시간은 40$여서 하루로 대여 55$ 였고 전기차라 기름비도 안들어 나름 합리적이었다. 하지만 라오스 도로들은 정비를 잘...,♥한솔이의 일기장♥,2024-09-10,https://blog.naver.com/joiness-/223579685450,"Our rental car... It's a smaller car than the Hatu Hatu Ray, but it seems like it could fit up to 4 people (8 hours is $40, so it's $55 per day, and since it's an electric car, it doesn't cost gas, so it's reasonable. However, the roads in Laos are well maintained...",neutral,0.3995,,2026-06-04 06:40:42.438678+00,ko
918,naver_blog,라오스여행 루앙프라방 숙소 마이반라오 호텔 정리,"* 출처 : 공홈 ◎ 위치 및 입지 주소 : Thammamikalath Rd Ban Mano Rd, Luang Prabang 06000 라오스 전번 : +856-71-25... 해줬다는 후기 있음 첫타임 기차 : 너무 일찍은 안해주는듯. 직원 : 친절한 편 전기차 렌트 호텔에서...",계장쟁이 @ 면봉,2024-05-06,https://blog.naver.com/houself/223438279920,"* Source: Official website ◎ Location and location address: Thammamikalath Rd Ban Mano Rd, Luang Prabang 06000 Laos Telephone number: +856-71-25... There are reviews saying that it is provided. First time train: It does not seem to be provided too early.Staff: Friendly. Electric car rental at the hotel...",neutral,0.5591,,2026-06-04 06:40:42.438678+00,ko
