id,store,app_name,app_category,country,rating,author,review_date,content,lang_detected,sentiment_label,sentiment_score,keyword_category,created_at
2863,google_play,Gojek,mobility_superapp,SEA,1,NIKUN THÀNH (Monkeybaby),2024-09-07,Gojek bây giờ đã ngừng hoạt động r tiếc thật ha 😞,vi,negative,0.9389,기타,2026-06-05 09:24:42.911098+00
2864,google_play,Gojek,mobility_superapp,SEA,5,Ngân Đậu,2024-09-07,Đồng hàng Gojek vỏn vẹn 6 năm từ hồi còn là GoViet. Thật buồn khi nghe tin Gojek rút .,vi,negative,0.8822,기타,2026-06-05 09:24:42.911098+00
2865,google_play,Gojek,mobility_superapp,SEA,5,Nhi Phạm,2024-09-07,Rât thich đi Gojek,vi,positive,0.366,기타,2026-06-05 09:24:42.911098+00
2866,google_play,Gojek,mobility_superapp,SEA,5,Anh Nguyễn Ngọc Minh,2024-09-07,Buồn lắm á gojek sao lại ngưng?,vi,negative,0.8634,기타,2026-06-05 09:24:42.911098+00
2867,google_play,Gojek,mobility_superapp,SEA,5,Võ Anh Thư,2024-09-07,tạm biệt Gojek huhu😭😭😭,vi,negative,0.7158,기타,2026-06-05 09:24:42.911098+00
2868,google_play,Gojek,mobility_superapp,SEA,1,Đức Anh lê,2024-09-07,Mãi kh gửi mã otp để đăng nhập???? Mấy ngày liền r kh đăng nhập đc,vi,neutral,0.5807,기타,2026-06-05 09:24:42.911098+00
2869,google_play,Gojek,mobility_superapp,SEA,5,TV,2024-09-07,Sau 6 năm đồng hành. Tạm biệt gojet cùng tôi di chuyển an toàn.,vi,positive,0.6441,기타,2026-06-05 09:24:42.911098+00
2817,google_play,Gojek,mobility_superapp,SEA,5,Minh Thư Trương Trần,2024-09-15,"Đồng hành cùng gojek trong 2 năm trải qua rất nhiều kỉ niệm, học được rất nhiều điều từ những câu chuyện của những bác tài xế💓, lần này nhận được tin tạm dừng của Gojek cảm thấy rất buồn và tiếc nuối. Chúc Gojek sắp tới mọi thứ thuận lợi, cảm ơn vì hành trình vừa qua và tạm biệt!!😭😭",vi,positive,0.696,배차·대기,2026-06-05 09:24:42.911098+00
2818,google_play,Gojek,mobility_superapp,SEA,5,Tiến mạnh Trần,2024-09-15,"Chúc anh chị công ty gojek nhiều sức khỏe, dù ko còn cộng tác chung với nhau nữa, nhưng vẫn nhớ và mọi người, nhớ rất nhiều và cảm ơn rất nhiều, ai nói gì thì nói với riêng tôi công ty gojek làm ăn tiền bạc rất là rạch ròi đâu ra đó, nhưng mà thị trường quá khốc liệt, phá nhiều hơn cạnh tranh nên gojek đành ra đi, tiền rẻ hơn app khác nhiều, trời mưa gió thì ko thấy lên, mà vẫn giữ nguyên, vậy mà nhiều người vẫn chê mắc mà ko biết mắc ở chỗ nào,",vi,positive,0.5469,기타,2026-06-05 09:24:42.911098+00
2819,google_play,Gojek,mobility_superapp,SEA,5,Diễm Nguyễn,2024-09-15,Quá tuyệt vời,vi,positive,0.8715,기타,2026-06-05 09:24:42.911098+00
