id,video_id,timestamp_start,timestamp_end,content,translated_content,created_at,lang_detected
1388,moNqhkSmNNg,196.239,200.959,"are a lot of buildings, but I found them",,2026-06-04 05:51:47.124748+00,en
1389,moNqhkSmNNg,198,205.239,eventually. And uh thought I'd check,,2026-06-04 05:51:47.124748+00,en
1390,moNqhkSmNNg,200.959,205.239,them out. Look at all this.,,2026-06-04 05:51:47.124748+00,en
1391,moNqhkSmNNg,209.36,214.4,"Now, I can't say that the every pea",,2026-06-04 05:51:47.124748+00,en
1392,moNqhkSmNNg,212.799,216.4,station is going to look like this. This,,2026-06-04 05:51:47.124748+00,en
1393,moNqhkSmNNg,214.4,219.36,"is their flagship, but and they had",,2026-06-04 05:51:47.124748+00,en
1394,moNqhkSmNNg,216.4,222.159,different types of chargers. They had,,2026-06-04 05:51:47.124748+00,en
1395,moNqhkSmNNg,219.36,223.76,some low-speed ones. This is a 120 watt,,2026-06-04 05:51:47.124748+00,en
1396,moNqhkSmNNg,222.159,226.959,charger.,,2026-06-04 05:51:47.124748+00,de
1397,moNqhkSmNNg,223.76,228.56,And I knew that the the app told me that,,2026-06-04 05:51:47.124748+00,en
1398,moNqhkSmNNg,226.959,230.56,there was going to be a high-speed,,2026-06-04 05:51:47.124748+00,en
1399,moNqhkSmNNg,228.56,233.84,"charger at this station. And here it is,",,2026-06-04 05:51:47.124748+00,en
1400,moNqhkSmNNg,230.56,237.68,a 240 kilowatt charger.,,2026-06-04 05:51:47.124748+00,en
1401,moNqhkSmNNg,233.84,241.2,And some other chargers there as well.,,2026-06-04 05:51:47.124748+00,en
1402,moNqhkSmNNg,237.68,243.599,"I noticed they were all made by Zerova,",,2026-06-04 05:51:47.124748+00,en
1403,moNqhkSmNNg,241.2,245.519,which is a Taiwanese uh company,,2026-06-04 05:51:47.124748+00,en
1404,moNqhkSmNNg,243.599,249.68,apparently.,,2026-06-04 05:51:47.124748+00,en
1405,moNqhkSmNNg,245.519,251.76,"So, um anyways, uh I loaded up the app",,2026-06-04 05:51:47.124748+00,en
1406,moNqhkSmNNg,249.68,254.159,and and,,2026-06-04 05:51:47.124748+00,en
1407,moNqhkSmNNg,251.76,256.479,got going on the charging. I I knew that,,2026-06-04 05:51:47.124748+00,en
1408,moNqhkSmNNg,254.159,261.44,the 240 kilowatt charger I wanted to try,,2026-06-04 05:51:47.124748+00,en
1409,moNqhkSmNNg,256.479,264.4,out because I read that the BYD Lion 7,,2026-06-04 05:51:47.124748+00,en
1410,moNqhkSmNNg,261.44,265.84,is limited to 150 kilowatts. So I,,2026-06-04 05:51:47.124748+00,en
1411,moNqhkSmNNg,264.4,270.639,"thought, let's see if that's true or",,2026-06-04 05:51:47.124748+00,en
1412,moNqhkSmNNg,265.84,272.32,"not. So anyways, this is the PA app and",,2026-06-04 05:51:47.124748+00,en
1413,moNqhkSmNNg,270.639,274.479,"it took a little while to load, but once",,2026-06-04 05:51:47.124748+00,en
1414,moNqhkSmNNg,272.32,276.88,"it loaded, boom, you could see all the",,2026-06-04 05:51:47.124748+00,en
1415,moNqhkSmNNg,274.479,278.639,charging stations in the entire country.,,2026-06-04 05:51:47.124748+00,en
1416,moNqhkSmNNg,276.88,281.199,"There's quite a number of them, quite a",,2026-06-04 05:51:47.124748+00,en
1417,moNqhkSmNNg,278.639,283.44,"network there, so that looks good. And",,2026-06-04 05:51:47.124748+00,en
1418,moNqhkSmNNg,281.199,285.6,"like I said, I'm at their flagship",,2026-06-04 05:51:47.124748+00,en
