video_id,title,channel_name,country,upload_date,view_count,like_count,description,created_at
cuFkQBe26mM,ขับ ORA ไปลาว🇱🇦 มีขั้นตอนอย่างไร ชาร์จไฟที่ไหน ทริป เวียงจันทร์ วังเวียง หลวงพระบาง EP2,EV Review,LAO,2024-10-06,3852,61,"#ORAGOODCAT #เที่ยวลาว #รถไฟฟ้า #ชาร์จไฟที่ลาว #ขั้นตอนขับรถข้ามแดน

ขั้นตอนโดยละเอียดและเอกสาร  https://www.youtube.com/watch?v=hkwXjGE01c4&t=161s",2026-06-04 05:49:49.631881+00
nCMVe_m-PTc,ลงทุนเปิดสถานีชาร์จในลาวปีเดียวคืนทุน,BT beartai,LAO,2023-03-10,16717,367,"สำรวจตู้ชาร์จ LocaEV ตู้ชาร์จรถยนต์ไฟฟ้าจากประเทศลาว พร้อมสัมภาษณ์ผู้บริหาร Loca ทำอย่างไรคืนทุนได้ในปีเดียว!

ติดตามแบไต๋ กดเลย! https://cutt.ly/YTbeartai

================
ติดต่องานโฆษณา หรือ Production ได้ที่ 
🔔sales@shownolimit.com 
📱 To. 085-848-2253

ติดตามข่าวสารด้านไอที และไลฟ์สไตล์โดน ๆ ได้ที่
Facebook: https://facebook.com/beartai
Twitter:       https://twitter.com/beartai
Instagram: https://www.instagram.com/beartai.ig
TikTok:       https://www.tiktok.com/@beartai/
Website:     https:",2026-06-04 05:49:49.631881+00
6rw0NJdxgMs,"F***, no Motorcycle EV Chargers in Laos!🇱🇦",Marc Travels,LAO,2025-04-12,37638,3266,"I knew it was gonna be tough to find them in Laos 🇱🇦 Lucky I can plug her in anywhere! I explain the new charging strategy in the video and also the motor is getting worse and worse! Hopefully Eve is holding on a little longer! Also food in this one, you’re welcome🤪 Lets’s go! Ps. Little city racing with @gulsahdunyaturunda at the end;)

#electricmotorcycle #marctravels #adventure 

Subscribe to my channel: @MarcTravels 

Support on PATREON:
https://www.patreon.com/marctravels

Help out via PayP",2026-06-04 05:49:49.631881+00
nOpmGFkntb4,Our New Chinese Electric Car in Laos 🇱🇦,2Passports 1Dream,LAO,2022-11-12,78089,2942,"Today we are off on another Laos adventure! We’ve rented the most adorable and handy little electric car (Wuling Mini EV) to take us around the outskirts of Luang Prabang, here in Laos. In the last video, we strolled around the beautiful city centre of Luang Prabang, Lao (which, by the way, is a UNESCO world heritage site), ate some local Lao food, and enjoyed the most exquisite views! 

Whilst we were walking around the city we were asked about 1000 times if we wanted a tuk-tuk ride to Kuang Si",2026-06-04 05:49:49.631881+00
Jja5en9n9pw,ขับรถไปเที่ยวลาว🇱🇦ง่ายนิดเดียว รถไฟฟ้ายิ่งง่ายมาก LAOS THAI,THAI LAO together,LAO,2024-02-26,10433,354,"ขับรถไปเที่ยวลาว🇱🇦ง่ายนิดเดียว รถไฟฟ้ายิ่งง่ายมาก จุดชาร์จรถไฟฟ้าเยอะตลอดเส้นทาง
#LocaLaos #LocaTaxi #TheLocaSafer #LocaEV #locapay
visit laos year 2024
#laossimplybeautiful
#visitlaoyear2024
#thailaotogether
ไปไทยมาลาว ไปไหนไปกัน ไทยลาวไปด้วยกัน
#ความสัมพันธ์ #ไทยลาว #เที่ยวลาว #เที่ยวไทย
#laos #thai #thailaos #laothai #ไทยลาว #ลาวไทย
See less",2026-06-04 05:49:49.631881+00
moNqhkSmNNg,EV Charging in Thailand: Best to Worst Ranked! (2026 Shootout – Don't Waste Your Time!),My EV Journeys,THA,2026-02-19,910,32,"Thailand's EV charging scene is exploding in 2026 – but which network is actually the best for speed, price, reliability, and coverage?  I rank the 5 EV charging station companies in Thailand from BEST to WORST based on real-world testing: charging speeds, app usability, pricing, availability nationwide, and more!

Whether you're driving in Bangkok, heading upcountry, or planning long trips, this video saves you time, money, and frustration. I cover major players like PTT EV Station PluZ, PEA VO",2026-06-04 05:49:49.631881+00
1v6_XUd_H5E,ສາກລົດໄຟຟ້າກັບແອັບ LOCA EV,LOCA LAOS,LAO,2022-07-25,3936,45,"🚗 ແອັບສາກລົດໄຟຟ້າ Loca EV ເປັນລະບົບອັດຕະໂນມັດ 100% ເຕີມເງິນດ້ວຍລະຫັດ ຫລື ເຊື່ອມບັດເຄຣດິດໄດ້ ສຳລັບຄົນໃຊ້ລົດໄຟຟ້າທຸກຄົນທີ່ຕ້ອງມີໄວ້ເທິງໂທລະສັບ.
✅ ເບິ່ງຕູ້ສາກໂລກ້າໄດ້ທຸກບ່ອນ.
✅ ຮວບຮວມການສາກໄວ້ທີ່ແອັບດຽວ.
✅ ຈັດການທຸກຂັ້ນຕອນເລື່ອງການຊຳລະ.

ດາວໂຫຼດແອັບເລີຍ!
iOS: https://link.loca.la/LOCA-EV_appstore
Android: https://link.loca.la/LOCA-EV_playstore
Website: https://link.loca.la/ev_how-to

#LocaEV #LOCA #EV",2026-06-04 05:49:49.631881+00
QyHFDucrp-8,Ever charge at a supermarket now? #evcharging #ev #electriccar #electriccarcharger,EV CHARGING BOOTCAMP,LAO,2024-12-13,325077,3014,"",2026-06-04 05:49:49.631881+00
gZUiZ40QeCE,Lao firm interests in EV charging station,ESTATEDIA,LAO,2023-04-05,164,4,"PHNOM PENH: Senior officials from the Ministry of Public Works and Transport recently paid a visit by LOCA, a Laos-based company specializing in electric vehicle (EV) charging stations. The meeting was attended by leaders from the general department, as well as numerous professional officials.

Join telegram: https://t.me/estatedia

Full read: https://estatedia.com/economy/8187",2026-06-04 05:49:49.631881+00
GpgWQSTH2ew,ເຕີມເງິນເຂົ້າແອັບ LOCA EV,LOCA LAOS,LAO,2022-07-25,3287,42,"🚗 ແອັບສາກລົດໄຟຟ້າ Loca EV ເປັນລະບົບອັດຕະໂນມັດ 100% ເຕີມເງິນດ້ວຍລະຫັດ ຫລື ເຊື່ອມບັດເຄຣດິດໄດ້ ສຳລັບຄົນໃຊ້ລົດໄຟຟ້າທຸກຄົນທີ່ຕ້ອງມີໄວ້ເທິງໂທລະສັບ.
✅ ເບິ່ງຕູ້ສາກໂລກ້າໄດ້ທຸກບ່ອນ.
✅ ຮວບຮວມການສາກໄວ້ທີ່ແອັບດຽວ.
✅ ຈັດການທຸກຂັ້ນຕອນເລື່ອງການຊຳລະ.

ດາວໂຫຼດແອັບເລີຍ!
iOS: https://link.loca.la/LOCA-EV_appstore
Android: https://link.loca.la/LOCA-EV_playstore
Website: https://link.loca.la/ev_how-to

#LocaEV #LOCA #EV",2026-06-04 05:49:49.631881+00
j41GKdcPhMM,ສະໝັກບັນຊີແອັບ LOCA EV,LOCA LAOS,LAO,2022-07-25,2623,14,"🚗 ແອັບສາກລົດໄຟຟ້າ Loca EV ເປັນລະບົບອັດຕະໂນມັດ 100% ເຕີມເງິນດ້ວຍລະຫັດ ຫລື ເຊື່ອມບັດເຄຣດິດໄດ້ ສຳລັບຄົນໃຊ້ລົດໄຟຟ້າທຸກຄົນທີ່ຕ້ອງມີໄວ້ເທິງໂທລະສັບ.
✅ ເບິ່ງຕູ້ສາກໂລກ້າໄດ້ທຸກບ່ອນ.
✅ ຮວບຮວມການສາກໄວ້ທີ່ແອັບດຽວ.
✅ ຈັດການທຸກຂັ້ນຕອນເລື່ອງການຊຳລະ.

ດາວໂຫຼດແອັບເລີຍ!
iOS: https://link.loca.la/LOCA-EV_appstore
Android: https://link.loca.la/LOCA-EV_playstore
Website: https://link.loca.la/ev_how-to

#LocaEV #LOCA #EV",2026-06-04 05:49:49.631881+00
